targetId,strataId,cohortId,cohortType,name
111,1,111000011,TwS,Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Full 30-day follow up
112,1,112000011,TwS,Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with Full 30-day follow up
113,1,113000011,TwS,Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Full 30-day follow up
114,1,114000011,TwS,Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with Full 30-day follow up
115,1,115000011,TwS,Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation with Full 30-day follow up
116,1,116000011,TwS,Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation with Full 30-day follow up
126,1,126000011,TwS,Persons tested for SARS-CoV-2 with at least 365d prior observation with Full 30-day follow up
127,1,127000011,TwS,Persons tested for SARS-CoV-2 with no required prior observation with Full 30-day follow up
128,1,128000011,TwS,Persons tested positive for SARS-CoV-2 with at least 365d prior observation with Full 30-day follow up
129,1,129000011,TwS,Persons tested positive for SARS-CoV-2 with no required prior observation with Full 30-day follow up
130,1,130000011,TwS,Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Full 30-day follow up
131,1,131000011,TwS,Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Full 30-day follow up
132,1,132000011,TwS,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with Full 30-day follow up
133,1,133000011,TwS,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with Full 30-day follow up
134,1,134000011,TwS,Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Full 30-day follow up
135,1,135000011,TwS,Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Full 30-day follow up
136,1,136000011,TwS,Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Full 30-day follow up
137,1,137000011,TwS,Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Full 30-day follow up
138,1,138000011,TwS,Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation with Full 30-day follow up
139,1,139000011,TwS,Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation with Full 30-day follow up
140,1,140000011,TwS,Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation with Full 30-day follow up
141,1,141000011,TwS,Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation with Full 30-day follow up
111,2,111000021,TwS,Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with < 30-day follow up
112,2,112000021,TwS,Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with < 30-day follow up
113,2,113000021,TwS,Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with < 30-day follow up
114,2,114000021,TwS,Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with < 30-day follow up
115,2,115000021,TwS,Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation with < 30-day follow up
116,2,116000021,TwS,Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation with < 30-day follow up
126,2,126000021,TwS,Persons tested for SARS-CoV-2 with at least 365d prior observation with < 30-day follow up
127,2,127000021,TwS,Persons tested for SARS-CoV-2 with no required prior observation with < 30-day follow up
128,2,128000021,TwS,Persons tested positive for SARS-CoV-2 with at least 365d prior observation with < 30-day follow up
129,2,129000021,TwS,Persons tested positive for SARS-CoV-2 with no required prior observation with < 30-day follow up
130,2,130000021,TwS,Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with < 30-day follow up
131,2,131000021,TwS,Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with < 30-day follow up
132,2,132000021,TwS,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with < 30-day follow up
133,2,133000021,TwS,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with < 30-day follow up
134,2,134000021,TwS,Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with < 30-day follow up
135,2,135000021,TwS,Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with < 30-day follow up
136,2,136000021,TwS,Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with < 30-day follow up
137,2,137000021,TwS,Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with < 30-day follow up
138,2,138000021,TwS,Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation with < 30-day follow up
139,2,139000021,TwS,Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation with < 30-day follow up
140,2,140000021,TwS,Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation with < 30-day follow up
141,2,141000021,TwS,Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation with < 30-day follow up
111,3,111000031,TwS,Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Sex = Female
112,3,112000031,TwS,Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with Sex = Female
113,3,113000031,TwS,Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Sex = Female
114,3,114000031,TwS,Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with Sex = Female
115,3,115000031,TwS,Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation with Sex = Female
116,3,116000031,TwS,Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation with Sex = Female
126,3,126000031,TwS,Persons tested for SARS-CoV-2 with at least 365d prior observation with Sex = Female
127,3,127000031,TwS,Persons tested for SARS-CoV-2 with no required prior observation with Sex = Female
128,3,128000031,TwS,Persons tested positive for SARS-CoV-2 with at least 365d prior observation with Sex = Female
129,3,129000031,TwS,Persons tested positive for SARS-CoV-2 with no required prior observation with Sex = Female
130,3,130000031,TwS,Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Sex = Female
131,3,131000031,TwS,Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Sex = Female
132,3,132000031,TwS,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with Sex = Female
133,3,133000031,TwS,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with Sex = Female
134,3,134000031,TwS,Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Sex = Female
135,3,135000031,TwS,Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Sex = Female
136,3,136000031,TwS,Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Sex = Female
137,3,137000031,TwS,Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Sex = Female
138,3,138000031,TwS,Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation with Sex = Female
139,3,139000031,TwS,Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation with Sex = Female
140,3,140000031,TwS,Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation with Sex = Female
141,3,141000031,TwS,Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation with Sex = Female
111,4,111000041,TwS,Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Sex = Male
112,4,112000041,TwS,Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with Sex = Male
113,4,113000041,TwS,Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Sex = Male
114,4,114000041,TwS,Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with Sex = Male
115,4,115000041,TwS,Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation with Sex = Male
116,4,116000041,TwS,Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation with Sex = Male
126,4,126000041,TwS,Persons tested for SARS-CoV-2 with at least 365d prior observation with Sex = Male
127,4,127000041,TwS,Persons tested for SARS-CoV-2 with no required prior observation with Sex = Male
128,4,128000041,TwS,Persons tested positive for SARS-CoV-2 with at least 365d prior observation with Sex = Male
129,4,129000041,TwS,Persons tested positive for SARS-CoV-2 with no required prior observation with Sex = Male
130,4,130000041,TwS,Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Sex = Male
131,4,131000041,TwS,Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Sex = Male
132,4,132000041,TwS,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with Sex = Male
133,4,133000041,TwS,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with Sex = Male
134,4,134000041,TwS,Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Sex = Male
135,4,135000041,TwS,Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Sex = Male
136,4,136000041,TwS,Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Sex = Male
